material,"corrosion-resistant",flexibility,strength,resilience-and-toughness,abrasion-resistance,impact-resistant
"Stainless Steel","Fair","Good","Good","Excellent","Fair","Good"
"Iron","Low","Poor","Good","Fair","Fair","Low"
"Galvanised Steel","Excellent","Good","Excellent","Excellent","Excellent","Good"
"PVC","Excellent","Good","Good","Excellent","Excellent","Low"
"Brass","Low","Poor","Excellent","Fair","Good","Good"
"Aluminium","Excellent","Excellent","Good","Good","Good","Excellent"
"Bronze","Excellent","Fair","Good","Good","Good","Fair"
"Copper","Good","Fair","Good","Good","Good","Excellent"
"Monel","Excellent","Good","Good","Good","Good","Good"

